FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150512;0000;;;36,1611;
150513;0000;;;14,3196;
150514;0000;;;11,1722;
150515;0000;;;19,653;
150516;0000;;;16,958;
150517;0000;;;16,9624;
150518;0000;;;59,6921;
150519;0000;;;36,1898;
150520;0000;;;14,6532;
150521;0000;;;5,22215;
150522;0000;;;8,91092;
150523;0000;;;;
150524;0000;21,7917;;;
150525;0000;42,1666;;;
150526;0000;112,344;;;
150527;0000;124,166;;;
150528;0000;89,1125;;;
150529;0000;34,597;;;
150530;0000;64,2853;;;
150531;0000;67,7823;;;
150601;0000;56,9683;;;
150602;0000;119,072;;;
150603;0000;48,2858;;;
150604;0000;110,006;;;
150605;0000;79,2374;;;
150606;0000;71,1028;;;
150607;0000;149,393;;;
150608;0000;168,372;;;
150609;0000;109,2;;;
150610;0000;38,7707;;;
150611;0000;41,7075;;;
150612;0000;47,8254;;;
150613;0000;43,2461;;;
150614;0000;;;;
150615;0000;28,4265;;;
150616;0000;43,2463;;;
150617;0000;54,7262;;;
150618;0000;109,531;;;
150619;0000;101,733;;;
150620;0000;56,8087;;;
150621;0000;41,4349;;;
150622;0000;129,695;;;
150623;0000;376,437;;;
150624;0000;510,574;;;
150625;0000;186,898;;;
150626;0000;103,428;;;
150627;0000;31,0691;;;
150628;0000;18,7568;;;
150629;0000;29,6459;;;
150630;0000;87,3048;;;
150701;0000;81,9907;;;
150702;0000;90,142;;;
150703;0000;85,8264;;;
150704;0000;334,229;;;
150705;0000;142,136;;;
150706;0000;90,0106;;;
150707;0000;115,623;;;
150708;0000;146,594;;;
150709;0000;93,1499;;;
150710;0000;60,5961;;;
150711;0000;39,5512;;;
150712;0000;45,9945;;;
150713;0000;44,4081;;;
150714;0000;32,0759;;;
150715;0000;73,3256;;;
150716;0000;82,2482;;;
150717;0000;50,9691;;;
150718;0000;55,4135;;;
150719;0000;31,9458;;;
150720;0000;42,3325;;;
150721;0000;38,9507;;;
150722;0000;49,6109;;;
150723;0000;43,2574;;;
150724;0000;95,5529;;;
150725;0000;105,898;;;
150726;0000;97,4786;;;
150727;0000;82,7124;;;
150728;0000;62,1376;;;
150729;0000;104,906;;;
150730;0000;87,8015;;;
150731;0000;141,234;;;
150801;0000;101,441;;;
150802;0000;85,1328;;;
150803;0000;53,4795;;;
150804;0000;139,858;;;
150805;0000;74,0487;;;
150806;0000;103,607;;;
150807;0000;91,6799;;;
150808;0000;80,0624;;;
150809;0000;95,0574;;;
150810;0000;98,1891;;;
150811;0000;60,4952;;;
150812;0000;176,089;;;
150813;0000;160,135;;;
150814;0000;45,0695;;;
150815;0000;26,1661;;;
150816;0000;26,4653;;;
150817;0000;62,1187;;;
150818;0000;73,5641;;;
150819;0000;111,095;;;
150820;0000;209,156;;;
150821;0000;149,042;;;
150822;0000;52,0737;;;
150823;0000;114,842;;;
150824;0000;119,658;;;
150825;0000;127,284;;;
150826;0000;63,1845;;;
150827;0000;112,032;;;
150828;0000;62,6492;;;
150829;0000;33,4521;;;
150830;0000;;;;
150831;0000;75,307;;;
150901;0000;99,8253;;;
150902;0000;33,4778;;;
150903;0000;40,3438;;;
150904;0000;30,0009;;;
150905;0000;24,3154;;;
150906;0000;32,4546;;;
150907;0000;37,3215;;;
150908;0000;87,1466;;;
150909;0000;39,2928;;;
150910;0000;39,4191;;;
150911;0000;37,472;;;
150912;0000;27,4474;;;
150913;0000;16,3008;;;
150914;0000;55,5007;;;
150915;0000;88,2974;;;
150916;0000;23,5835;;;
150917;0000;39,694;;;
150918;0000;21,4228;;;
150919;0000;35,6891;;;
150920;0000;36,5333;;;
150921;0000;80,9512;;;
150922;0000;166,637;;;
150923;0000;90,7091;;;
150924;0000;95,0386;;;
150925;0000;56,8887;;;
150926;0000;35,6933;;;
150927;0000;30,281;;;
150928;0000;48,3179;;;
150929;0000;67,7336;;;
150930;0000;39,949;;;
151001;0000;51,7635;;;
151002;0000;103,217;;;
151003;0000;154,825;;;
151004;0000;86,5847;;;
151005;0000;29,5944;;;
151006;0000;35,756;;;
151007;0000;26,6952;;;
151008;0000;44,5314;;;
151009;0000;74,6697;;;
151010;0000;83,9901;;;
151011;0000;50,6423;;;
151012;0000;50,8424;;;
151013;0000;28,854;;;
151014;0000;22,7908;;;
151015;0000;27,2045;;;
151016;0000;33,2918;;;
151017;0000;18,2224;;;
151018;0000;14,2748;;;
151019;0000;21,1943;;;
151020;0000;18,7452;;;
151021;0000;48,2849;;;
151022;0000;39,1627;;;
151023;0000;12,8013;;;
151024;0000;32,0375;;;
151025;0000;36,4169;;;
151026;0000;19,5148;;;
151027;0000;25,5451;;;
151028;0000;17,0079;;;
151029;0000;18,3002;;;
151030;0000;25,1282;;;
151031;0000;17,5493;;;
151101;0000;14,6954;;;
151102;0000;13,7457;;;
151103;0000;18,6242;;;
151104;0000;17,9101;;;
151105;0000;16,2337;;;
151106;0000;9,64832;;;
151107;0000;8,32541;;;
151108;0000;10,6383;;;
151109;0000;13,1723;;;
151110;0000;21,5842;;;
151111;0000;5,70541;;;
151112;0000;7,5107;;;
151113;0000;10,2617;;;
151114;0000;8,74149;;;
151115;0000;11,0084;;;
151116;0000;24,692;;;
151117;0000;35,4458;;;
151118;0000;25,3558;;;
151119;0000;25,1222;;;
151120;0000;18,4018;;;
151121;0000;25,5016;;;
151122;0000;18,0828;;;
151123;0000;11,9099;;;
151124;0000;15,2915;;;
151125;0000;15,2838;;;
151126;0000;12,8009;;;
151127;0000;14,1169;;;
151128;0000;13,5161;;;
151129;0000;7,34303;;;
151130;0000;12,1462;;;
151201;0000;25,7881;;;
151202;0000;12,1161;;;
151203;0000;6,20813;;;
151204;0000;9,34753;;;
151205;0000;14,5763;;;
151206;0000;12,8684;;;
151207;0000;11,1392;;;
151208;0000;11,1105;;;
151209;0000;10,5448;;;
151210;0000;7,56023;;;
151211;0000;9,51653;;;
151212;0000;11,2084;;;
151213;0000;12,1365;;;
151214;0000;18,2665;;;
151215;0000;8,68919;;;
151216;0000;18,9261;;;
151217;0000;19,0476;;;
151218;0000;18,8698;;;
151219;0000;8,49236;;;
151220;0000;11,8355;;;
151221;0000;13,6283;;;
151222;0000;13,6361;;;
151223;0000;12,8568;;;
151224;0000;17,8701;;;
151225;0000;12,434;;;
151226;0000;14,1544;;;
151227;0000;9,79344;;;
151228;0000;12,0571;;;
151229;0000;11,5225;;;
151230;0000;11,1748;;;
151231;0000;16,3737;;;
160101;0000;14,3651;;;
160102;0000;11,3112;;;
160103;0000;9,85782;;;
160104;0000;12,1772;;;
160105;0000;8,99065;;;
160106;0000;7,91899;;;
160107;0000;9,14186;;;
160108;0000;7,28262;;;
160109;0000;6,80078;;;
160110;0000;4,63291;;;
160111;0000;5,03041;;;
160112;0000;5,76115;;;
160113;0000;;;1,42317;
160114;0000;;;1,84608;
160115;0000;;;4,0922;
160116;0000;9,23499;;;
160117;0000;6,24566;;;
160118;0000;6,9337;;;
160119;0000;11,0329;;;
160120;0000;9,15057;;;
160121;0000;9,18024;;;
160122;0000;5,27316;;;
160123;0000;6,65445;;;
160124;0000;8,14841;;;
160125;0000;9,94069;;;
160126;0000;12,9963;;;
160127;0000;9,5894;;;
160128;0000;4,91533;;;
160129;0000;9,58461;;;
160130;0000;10,6983;;;
160131;0000;8,90385;;;
160201;0000;11,0219;;;
160202;0000;10,5829;;;
160203;0000;5,6337;;;
160204;0000;25,6621;;;
160205;0000;22,3922;;;
160206;0000;23,6941;;;
160207;0000;10,6464;;;
160208;0000;8,90662;;;
160209;0000;5,79153;;;
160210;0000;6,95203;;;
160211;0000;5,00404;;;
160212;0000;;;;
160213;0000;6,06153;;;
160214;0000;4,59187;;;
160215;0000;4,82807;;;
160216;0000;9,72398;;;
160217;0000;10,4232;;;
160218;0000;6,15775;;;
160219;0000;7,70512;;;
160220;0000;9,38536;;;
160221;0000;8,29074;;;
160222;0000;11,7833;;;
160223;0000;15,9445;;;
160224;0000;10,4337;;;
160225;0000;9,82303;;;
160226;0000;10,9736;;;
160227;0000;16,0058;;;
160228;0000;16,7811;;;
160229;0000;18,8192;;;
160301;0000;15,3988;;;
160302;0000;15,9727;;;
160303;0000;7,31911;;;
160304;0000;7,58633;;;
160305;0000;10,4187;;;
160306;0000;7,9957;;;
160307;0000;10,7229;;;
160308;0000;11,6648;;;
160309;0000;20,7763;;;
160310;0000;13,8382;;;
160311;0000;13,5088;;;
160312;0000;25,9566;;;
160313;0000;15,4509;;;
160314;0000;16,7195;;;
160315;0000;13,3211;;;
160316;0000;21,5654;;;
160317;0000;17,8622;;;
160318;0000;13,2129;;;
160319;0000;14,2876;;;
160320;0000;8,84032;;;
160321;0000;9,99815;;;
160322;0000;8,30524;;;
160323;0000;19,3488;;;
160324;0000;25,135;;;
160325;0000;56,4791;;;
160326;0000;50,052;;;
160327;0000;21,4205;;;
160328;0000;19,3256;;;
160329;0000;47,5059;;;
160330;0000;20,476;;;
160331;0000;24,3938;;;
160401;0000;38,499;;;
160402;0000;18,4641;;;
160403;0000;22,3102;;;
160404;0000;29,6023;;;
160405;0000;83,8269;;;
160406;0000;34,957;;;
160407;0000;33,1393;;;
160408;0000;54,2953;;;
160409;0000;119,084;;;
160410;0000;116,582;;;
160411;0000;132,069;;;
160412;0000;131,343;;;
160413;0000;51,7433;;;
160414;0000;51,3851;;;
160415;0000;29,14;;;
160416;0000;30,6314;;;
160417;0000;63,1454;;;
160418;0000;42,6104;;;
160419;0000;30,6065;;;
160420;0000;28,5875;;;
160421;0000;40,3696;;;
