FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150830;0000;;;;
150831;0000;13,7615;;;
150901;0000;7,19893;;;
150902;0000;14,0639;;;
150903;0000;15,4455;;;
150904;0000;12,9733;;;
150905;0000;15,3146;;;
150906;0000;15,7101;;;
150907;0000;15,2306;;;
150908;0000;15,2153;;;
150909;0000;15,0227;;;
150910;0000;16,5383;;;
150911;0000;15,3813;;;
150912;0000;15,8764;;;
150913;0000;19,0105;;;
150914;0000;14,8022;;;
150915;0000;11,4108;;;
150916;0000;16,0634;;;
150917;0000;14,9186;;;
150918;0000;17,9039;;;
150919;0000;14,7401;;;
150920;0000;12,8032;;;
150921;0000;11,3962;;;
150922;0000;8,73138;;;
150923;0000;9,81622;;;
150924;0000;6,86971;;;
150925;0000;13,6671;;;
150926;0000;13,3235;;;
150927;0000;18,8809;;;
150928;0000;14,0389;;;
150929;0000;4,8613;;;
150930;0000;10,6284;;;
151001;0000;12,9725;;;
151002;0000;9,96638;;;
151003;0000;6,05539;;;
151004;0000;8,41415;;;
151005;0000;14,5039;;;
151006;0000;15,0293;;;
151007;0000;14,5952;;;
151008;0000;12,6226;;;
151009;0000;9,80908;;;
151010;0000;9,93274;;;
151011;0000;10,2891;;;
151012;0000;9,86913;;;
151013;0000;13,5038;;;
151014;0000;15,3622;;;
151015;0000;18,0658;;;
151016;0000;13,5993;;;
151017;0000;17,4838;;;
151018;0000;15,4343;;;
151019;0000;15,1515;;;
151020;0000;16,785;;;
151021;0000;15,0824;;;
151022;0000;17,4091;;;
151023;0000;19,3048;;;
151024;0000;13,2707;;;
151025;0000;9,56847;;;
151026;0000;16,3531;;;
151027;0000;15,3209;;;
151028;0000;17,163;;;
151029;0000;18,7726;;;
151030;0000;18,8827;;;
151031;0000;16,5244;;;
151101;0000;14,8492;;;
151102;0000;14,3728;;;
151103;0000;12,5467;;;
151104;0000;12,4704;;;
151105;0000;10,1382;;;
151106;0000;12,9492;;;
151107;0000;12,937;;;
151108;0000;14,1514;;;
151109;0000;11,7392;;;
151110;0000;14,0793;;;
151111;0000;20,4538;;;
151112;0000;17,097;;;
151113;0000;15,5923;;;
151114;0000;14,6582;;;
151115;0000;13,668;;;
151116;0000;9,15916;;;
151117;0000;12,3764;;;
151118;0000;11,7583;;;
151119;0000;11,4549;;;
151120;0000;10,7415;;;
151121;0000;12,2575;;;
151122;0000;12,4929;;;
151123;0000;12,5346;;;
151124;0000;12,2588;;;
151125;0000;7,88429;;;
151126;0000;7,86607;;;
151127;0000;11,0432;;;
151128;0000;9,7878;;;
151129;0000;8,36943;;;
151130;0000;7,61978;;;
151201;0000;5,67207;;;
151202;0000;7,98045;;;
151203;0000;8,75111;;;
151204;0000;9,93123;;;
151205;0000;10,1309;;;
151206;0000;11,1048;;;
151207;0000;8,39601;;;
151208;0000;7,16095;;;
151209;0000;4,74837;;;
151210;0000;7,8278;;;
151211;0000;10,6252;;;
151212;0000;13,6918;;;
151213;0000;8,66922;;;
151214;0000;8,32298;;;
151215;0000;9,41183;;;
151216;0000;5,42728;;;
151217;0000;4,57376;;;
151218;0000;4,44763;;;
151219;0000;3,45589;;;
151220;0000;1,75475;;;
151221;0000;5,37913;;;
151222;0000;6,69531;;;
151223;0000;5,86769;;;
151224;0000;6,72839;;;
151225;0000;7,16383;;;
151226;0000;3,81232;;;
151227;0000;2,46317;;;
